"date","close","volume","open","high","low"

"2017/12/22","15.1500","12081070.0000","15.0500","15.3800","14.9200"
"2017/12/21","15.3700","12098220.0000","15.3300","15.6800","15.2000"
"2017/12/20","15.5000","10155890.0000","15.6900","15.8900","15.4700"
"2017/12/19","15.7700","12410320.0000","15.9100","16.0400","15.6500"
"2017/12/18","16.1000","20204630.0000","15.9500","16.3700","15.9339"
"2017/12/15","15.7500","19432780.0000","16.0000","16.0400","15.6300"
"2017/12/14","16.0400","24930580.0000","15.9200","16.4500","15.7600"
"2017/12/13","15.9600","14159140.0000","15.8000","16.1800","15.7900"
"2017/12/12","15.9300","22251140.0000","16.0000","16.1200","15.5300"
"2017/12/11","16.2200","34865600.0000","15.1400","16.3050","15.0700"
"2017/12/08","15.0700","20213860.0000","14.6400","15.1400","14.5900"
"2017/12/07","14.7000","16358180.0000","14.6500","14.7700","14.2800"
"2017/12/06","14.6000","25861270.0000","14.5800","15.0500","14.3600"
"2017/12/05","14.9400","51386910.0000","14.4000","15.1000","14.0200"
"2017/12/04","13.5700","28780130.0000","13.9500","14.0000","13.0850"
"2017/12/01","13.8700","19244170.0000","13.6700","13.9000","13.4100"
"2017/11/30","13.7800","26838410.0000","13.4100","14.0000","13.3600"
"2017/11/29","13.7000","30081390.0000","13.5400","13.9900","13.2507"
"2017/11/28","13.6100","23648790.0000","13.3700","13.7400","13.0200"
"2017/11/27","13.0600","19332980.0000","12.8700","13.3800","12.8600"
"2017/11/24","12.9700","12772780.0000","12.6700","13.0200","12.6700"
"2017/11/22","12.6200","14009750.0000","12.3500","12.6400","12.3500"
"2017/11/21","12.3400","18962990.0000","12.5200","12.5900","12.3200"
"2017/11/20","12.4100","30650100.0000","13.1000","13.1100","12.2900"
"2017/11/17","12.9900","17549950.0000","12.6000","13.0100","12.5100"
"2017/11/16","12.5600","15691300.0000","12.5000","12.6800","12.3800"
"2017/11/15","12.4600","14401790.0000","12.3200","12.7500","12.1700"
"2017/11/14","12.5700","13952320.0000","12.4100","12.7000","12.2500"
"2017/11/13","12.4000","19200410.0000","12.8300","12.9500","12.3500"
"2017/11/10","12.7600","32124600.0000","12.5000","12.8400","12.3100"
"2017/11/09","12.3800","51617580.0000","12.6400","12.7400","12.2300"
"2017/11/08","12.9100","162638900.0000","13.4700","14.0900","12.1000"
"2017/11/07","15.1200","39798690.0000","14.8700","15.5300","14.7300"
"2017/11/06","14.8300","17701980.0000","15.1900","15.2900","14.8000"
"2017/11/03","15.2700","12768360.0000","14.6400","15.2800","14.6000"
"2017/11/02","14.5500","11795140.0000","14.4500","14.8700","14.4000"
"2017/11/01","14.5100","20425030.0000","15.4500","15.5200","14.3900"
"2017/10/31","15.3400","12990670.0000","15.6500","15.7300","15.1700"
"2017/10/30","15.6800","23625090.0000","15.1300","16.2700","15.0500"
"2017/10/27","15.4400","23741450.0000","14.2700","15.4800","14.2200"
"2017/10/26","14.3900","17052980.0000","14.3500","14.7600","14.1100"
"2017/10/25","14.1600","22927120.0000","14.7000","14.9300","13.9600"
"2017/10/24","14.5900","15434830.0000","14.8700","15.0800","14.5800"
"2017/10/23","14.9700","19582350.0000","15.5800","15.6900","14.8900"
"2017/10/20","15.5600","12864310.0000","15.3900","15.5700","15.2100"
"2017/10/19","15.2500","19232340.0000","15.4700","15.5900","15.1800"
"2017/10/18","15.7500","18303270.0000","16.3000","16.3490","15.6900"
"2017/10/17","16.0900","15082500.0000","16.2900","16.6100","16.0500"
"2017/10/16","16.0700","20862210.0000","16.6800","16.7300","15.9100"
"2017/10/13","16.5000","24481940.0000","16.4800","16.8800","16.2200"
"2017/10/12","16.5500","63143360.0000","16.0700","16.8600","15.8200"
"2017/10/11","15.9800","40703340.0000","14.6400","15.9800","14.4650"
"2017/10/10","14.3400","13767080.0000","14.7100","14.8700","14.3200"
"2017/10/09","14.7100","9177142.0000","14.8100","14.9200","14.6700"
"2017/10/06","14.7900","11934760.0000","14.3800","14.8400","14.3200"
"2017/10/05","14.4800","13148700.0000","14.3000","14.5600","14.1000"
"2017/10/04","14.5300","15683550.0000","14.8400","14.9000","14.3500"
"2017/10/03","14.6400","16677930.0000","14.8700","15.1000","14.5900"
"2017/10/02","14.8800","21195640.0000","14.6000","15.0400","14.4050"
"2017/09/29","14.5400","20577390.0000","14.4300","14.7000","14.3000"
"2017/09/28","14.4500","17549590.0000","14.2000","14.5900","13.9700"
"2017/09/27","14.1200","16644020.0000","14.0000","14.2500","13.8250"
"2017/09/26","13.9100","20062220.0000","13.3300","13.9800","13.3000"
"2017/09/25","13.2200","18421890.0000","13.5000","13.5100","13.0700"
"2017/09/22","13.7000","12299290.0000","13.7200","13.9200","13.6200"
"2017/09/21","13.7700","25219920.0000","13.9900","14.1100","13.5100"
"2017/09/20","14.1600","24817000.0000","14.6800","14.7000","14.0500"
"2017/09/19","14.7200","23442270.0000","14.9000","14.9000","14.4600"
"2017/09/18","14.9200","20918060.0000","15.3200","15.3300","14.8100"
"2017/09/15","15.2500","34138180.0000","14.9900","15.3100","14.9300"
"2017/09/14","14.9100","16297940.0000","14.9500","15.1800","14.8200"
"2017/09/13","15.0300","24109350.0000","15.2000","15.3300","14.8550"
"2017/09/12","15.1300","48884970.0000","15.2500","15.7500","15.0100"
"2017/09/11","15.2700","32871260.0000","15.2500","15.5700","14.8894"
"2017/09/08","15.3400","36566970.0000","15.1700","15.8000","15.1000"
"2017/09/07","15.1500","45534840.0000","14.4300","15.5800","14.4000"
"2017/09/06","14.5000","23112950.0000","14.4200","14.5400","14.1700"
"2017/09/05","14.4900","21284270.0000","14.2800","14.5700","14.0800"
"2017/09/01","14.2700","26045550.0000","14.5000","14.5000","14.0100"
"2017/08/31","14.5100","23020000.0000","14.9800","15.0500","14.5100"
"2017/08/30","14.9600","22468570.0000","14.9200","15.1100","14.7600"
"2017/08/29","14.9900","20691730.0000","15.0500","15.3100","14.8800"
"2017/08/28","15.1900","27838270.0000","14.8000","15.2600","14.7700"
"2017/08/25","14.7800","23005230.0000","14.6200","14.8500","14.4500"
"2017/08/24","14.5300","30620920.0000","15.2400","15.3400","14.4300"
"2017/08/23","15.0900","65692380.0000","14.5500","15.1300","14.3800"
"2017/08/22","14.5300","37793290.0000","13.8500","14.5600","13.8100"
"2017/08/21","13.5800","44231950.0000","14.2700","14.5900","13.3500"
"2017/08/18","14.0100","46108020.0000","13.3000","14.2500","13.2600"
"2017/08/17","13.3500","36162080.0000","12.9500","13.5000","12.9500"
"2017/08/16","13.1200","33142010.0000","12.5000","13.2500","12.4800"
"2017/08/15","12.7400","43472270.0000","13.0500","13.3000","12.6600"
"2017/08/14","12.6000","84623410.0000","11.4900","13.1400","11.2800"
"2017/08/11","11.8300","83801430.0000","12.0000","12.3400","11.7700"
"2017/08/10","13.7700","56258560.0000","13.5800","13.9623","13.2600"
"2017/08/09","13.5600","26737730.0000","12.9600","13.6500","12.7800"
"2017/08/08","13.0200","29986960.0000","13.2800","13.2900","12.8200"
"2017/08/07","13.3900","34009320.0000","13.8600","14.0600","13.2400"
"2017/08/04","13.5200","53024180.0000","13.1700","13.7000","12.8300"
"2017/08/03","12.9300","61436640.0000","12.6500","13.1500","11.9050"
"2017/08/02","12.6500","25220380.0000","13.2200","13.2500","12.5200"
"2017/08/01","13.1000","27526060.0000","13.7700","13.7746","13.0700"
"2017/07/31","13.6700","48855060.0000","13.4200","13.9800","13.1000"
"2017/07/28","13.8100","16725630.0000","13.9000","14.0300","13.5000"
"2017/07/27","14.0000","27140180.0000","13.1500","14.1000","13.1400"
"2017/07/26","13.4000","21551830.0000","13.7400","13.8200","13.4000"
"2017/07/25","13.8900","15131340.0000","14.0600","14.1100","13.6500"
"2017/07/24","14.0800","14736400.0000","14.4500","14.4800","14.0200"
